"time","bus","location","direction","alg","count"
15,2,1.83119689412243,1,"chain",5
15,3,6.46131893921843,1,"chain",1
15,4,1.65423529034311,1,"chain",5
15,5,3.19437300060988,-1,"chain",2
16,1,6.41355303723666,1,"chain",3
16,2,1.92355210458048,1,"chain",5
16,3,6.55033324150711,1,"chain",1
16,4,1.84340937196509,1,"chain",4
16,5,2.83529200274842,-1,"chain",2
17,1,6.5296438227656,1,"chain",3
17,2,2.49003447147664,1,"chain",4
17,3,6.63934754379579,1,"chain",1
17,4,2.54011379299782,1,"chain",4
17,5,2.47621100488697,-1,"chain",2
18,1,6.64573460829455,1,"chain",3
18,2,2.86092741697371,1,"chain",4
18,3,6.72836184608447,1,"chain",1
18,4,3.23681821403055,1,"chain",4
18,5,2.11713000702551,-1,"chain",2
19,1,6.76182539382349,1,"chain",3
19,2,3.23182036247077,1,"chain",4
19,3,6.81737614837314,1,"chain",1
19,4,3.93352263506328,1,"chain",5
19,5,1.75804900916406,-1,"chain",2
20,1,6.87791617935243,1,"chain",3
20,2,3.60271330796783,1,"chain",4
20,3,6.90639045066182,1,"chain",1
20,4,4.17453190457949,1,"chain",5
20,5,1.3989680113026,-1,"chain",2
21,1,6.99400696488137,1,"chain",3
21,2,3.97360625346489,1,"chain",3
21,3,6.9954047529505,1,"chain",0
21,4,4.41554117409569,1,"chain",5
21,5,1.03988701344115,-1,"chain",0
22,1,7.33629787021976,1,"chain",3
22,2,4.39685318913342,1,"chain",3
22,3,7.41850244338245,1,"chain",0
22,4,4.6565504436119,1,"chain",5
